BSheight,lambdaB0.1omega0,lambdaB0.1omega60,lambdaB0.01omega0,lambdaB0.01omega60
2,8.38914774973963,10.0669772996876,4.09032201749761,4.90838642099713
3,5.51512584448809,6.61815101338571,3.5751934145224,4.29023209742688
4,4.81073312889668,5.77287975467601,3.36956442015013,4.04347730418016
5,4.47791754742365,5.37350105690838,3.24004745557171,3.88805694668605
6,4.27585547364656,5.13102656837587,3.14528173467273,3.77433808160728
7,4.13572524711139,4.96287029653366,3.07046487072358,3.68455784486829
8,4.03034815237161,4.83641778284593,3.00860657144033,3.61032788572839
9,3.94673329715612,4.73607995658734,2.95584948867906,3.54701938641487
10,3.87782853052288,4.65339423662746,2.90983878115153,3.49180653738184
