0.0001,0.0013014,0.012323,0.023282,0.049857,0.060447
0.0002,0.00010937,0.0011726,0.0025075,0.0071676,0.0096792
0.0003,7.1803e-06,8.8329e-05,0.00022038,0.00093351,0.0014657
0.0004,4.1983e-07,6.0114e-06,1.8082e-05,0.00012487,0.00023497
0.0005,2.3019e-08,3.8955e-07,1.4603e-06,1.764e-05,4.0355e-05
0.0006,1.2118e-09,2.4627e-08,1.1868e-07,2.619e-06,7.3135e-06
0.0007,6.2034e-11,1.5388e-09,9.7963e-09,4.0384e-07,1.3768e-06
0.0008,3.1113e-12,9.5765e-11,8.2339e-10,6.4022e-08,2.6625e-07
0.0009,1.5364e-13,5.9634e-12,7.0434e-11,1.036e-08,5.2516e-08
0.001,7.4942e-15,3.7263e-13,6.1201e-12,1.7027e-09,1.0515e-08
